How do you celerbrate birthdays?  | 당신은 생일 축하를 어떻게 하는가?
Eating cake or decorating with balloons?  |  케이크를 먹거나 풍선으로 장식하는가?
Around the world, people celebrate birthdays differently. | 전 세계에서 사람들은 다르게 생일을 축하한다.
Japanese people give ten gift the birthday person because the number 10 is good luck. | 일본 사람들은 생일인 사람에게 10개의 선물을 주는데, 숫자 10이 행운을 의미하기 때문이다.
People in Muslim countries often use green gift wrapping to encourage good fortune. | 이슬람교 국가의 사람들은 종종 행운을 복돋기 위해 초록색 선물 포장을 사용한다.
In India, some people shave a child’s head on his or her first birthday.  | 인도에서는, 몇몇 사람들이 아이의 첫 번째 생일날 머리를 밀어준다.
In Ireland, people lift the birthday child upside down and bump his or her on the floor.  | 아일랜드에서는, 사람들은 생일을 맞은 아이를 꺼꾸로 뒤집어 아이의 머리를 바닥에 부딪치게 한다.
Other counties celebrate with special food. | 다른 나라들은 특별한 음식으로 축하한다.
In the Far East, people eat rice on their birthday instead of cake. | 극동 지역에서는, 사람들은 케이크 대신에 생일에 쌀밥을 먹는다.
In Russia, people make a fruit pie with birthday messages on it.  | 러시아에서는, 사람들이 그 위에 생일 메시지가 있는 과일 파이를 만든다.
